,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1650181868.0330005,38706.0,5199.13,5622.219,3210.921,"{'root--consul': 11.0, 'root--frontend': 6.0, 'root--geo': 9.0, 'root--jaeger': 11.0, 'root--memcached-profile': 7.0, 'root--memcached-rate': 7.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 7.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 11.0, 'root--profile': 11.0, 'root--rate': 5.0, 'root--recommendation': 11.0, 'root--reservation': 6.0, 'root--search': 6.0, 'root--user': 7.0}",1650181868.0330005,1650181898.095658
1650181898.0963526,38320.0,5903.002,6665.221,3267.43,"{'root--consul': 11.0, 'root--frontend': 6.0, 'root--geo': 9.0, 'root--jaeger': 11.0, 'root--memcached-profile': 7.0, 'root--memcached-rate': 7.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 7.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 11.0, 'root--profile': 11.0, 'root--rate': 5.0, 'root--recommendation': 11.0, 'root--reservation': 6.0, 'root--search': 6.0, 'root--user': 7.0}",1650181898.0963526,1650181928.7029734
1650181928.7036953,36141.0,5728.312,7135.601,3587.7059999999997,"{'root--consul': 11.0, 'root--frontend': 6.0, 'root--geo': 9.0, 'root--jaeger': 11.0, 'root--memcached-profile': 7.0, 'root--memcached-rate': 7.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 7.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 11.0, 'root--profile': 11.0, 'root--rate': 5.0, 'root--recommendation': 11.0, 'root--reservation': 6.0, 'root--search': 6.0, 'root--user': 7.0}",1650181928.7036953,1650181958.7855053
1650181958.7861755,41480.0,5749.751,6223.757,2921.9829999999997,"{'root--consul': 11.0, 'root--frontend': 6.0, 'root--geo': 9.0, 'root--jaeger': 11.0, 'root--memcached-profile': 7.0, 'root--memcached-rate': 7.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 7.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 11.0, 'root--profile': 11.0, 'root--rate': 5.0, 'root--recommendation': 11.0, 'root--reservation': 6.0, 'root--search': 6.0, 'root--user': 7.0}",1650181958.7861755,1650181989.368736
1650181989.3694186,57158.0,5424.276,6964.09,2104.2470000000003,"{'root--consul': 8.783333333333333, 'root--frontend': 8.1, 'root--geo': 8.683333333333334, 'root--jaeger': 8.783333333333333, 'root--memcached-profile': 6.05, 'root--memcached-rate': 6.35, 'root--memcached-reserve': 8.25, 'root--mongodb-geo': 7.816666666666666, 'root--mongodb-profile': 7.55, 'root--mongodb-rate': 8.55, 'root--mongodb-recommendation': 3.8833333333333333, 'root--mongodb-reservation': 8.35, 'root--mongodb-user': 10.066666666666666, 'root--profile': 10.083333333333334, 'root--rate': 4.783333333333333, 'root--recommendation': 10.183333333333334, 'root--reservation': 5.883333333333334, 'root--search': 5.766666666666667, 'root--user': 6.533333333333333}",1650181989.3694186,1650182019.4255698
1650182019.42629,89276.0,56.865,116.309,28.368000000000002,"{'root--consul': 4.0, 'root--frontend': 24.0, 'root--geo': 8.0, 'root--jaeger': 4.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 14.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.033333333333335, 'root--mongodb-user': 3.0, 'root--profile': 4.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 7.0, 'root--search': 4.0, 'root--user': 3.0}",1650182019.42629,1650182049.4712596
1650182049.472411,89282.0,53.836,113.901,27.717,"{'root--consul': 4.0, 'root--frontend': 24.0, 'root--geo': 8.0, 'root--jaeger': 4.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 14.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 3.0, 'root--profile': 4.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 7.066666666666666, 'root--search': 4.0, 'root--user': 3.0}",1650182049.472411,1650182079.5429325
1650182079.5436425,89281.0,54.107,108.079,28.961,"{'root--consul': 4.0, 'root--frontend': 24.0, 'root--geo': 8.0, 'root--jaeger': 4.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 14.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 3.0, 'root--profile': 4.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 7.0, 'root--search': 4.0, 'root--user': 3.0}",1650182079.5436425,1650182109.598127
1650182109.5988529,89286.0,62.833,113.916,20.393,"{'root--consul': 4.0, 'root--frontend': 24.0, 'root--geo': 8.0, 'root--jaeger': 4.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 14.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 3.0, 'root--profile': 4.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 6.666666666666667, 'root--search': 4.0, 'root--user': 3.0}",1650182109.5988529,1650182139.6486135
1650182139.6492918,87173.0,52.073,116.125,22.815,"{'root--consul': 4.0, 'root--frontend': 23.34426229508197, 'root--geo': 8.0, 'root--jaeger': 4.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 14.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 3.0, 'root--profile': 4.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 7.573770491803279, 'root--search': 4.0, 'root--user': 3.0}",1650182139.6492918,1650182170.203701
